,group,name,stripes_acc,hexos_acc,acc,trial,task
31,corelnet,trial = 1,0.6579999923706055,0.9667999744415284,1.0,1,xoccurs
32,relconvnet,trial = 4,0.9350000023841858,0.9660000205039978,1.0,4,xoccurs
33,relconvnet,trial = 3,0.9607999920845032,0.9697999954223632,1.0,3,xoccurs
34,relconvnet,trial = 2,0.9368000030517578,0.9660000205039978,1.0,2,xoccurs
35,relconvnet,trial = 1,0.9354000091552734,0.9660000205039978,1.0,1,xoccurs
36,transformer,trial = 0,0.7590000033378601,0.8037999868392944,0.800000011920929,0,xoccurs
37,predinet,trial = 0,0.7716000080108643,0.8930000066757202,0.9480000138282776,0,xoccurs
38,corelnet,trial = 0,0.7075999975204468,0.9972000122070312,1.0,0,xoccurs
39,relconvnet,trial = 0,0.9595999717712402,0.9685999751091005,0.9990000128746032,0,xoccurs
0,transformer-tcn,trial = 4,0.6126000285148621,0.8974000215530396,0.9319999814033508,4,occurs
1,transformer-tcn,trial = 3,0.777400016784668,0.9089999794960022,0.9470000267028807,3,occurs
2,transformer-tcn,trial = 2,0.6643999814987183,0.8718000054359436,0.9089999794960022,2,occurs
3,transformer-tcn,trial = 1,0.6421999931335449,0.9186000227928162,0.9710000157356262,1,occurs
4,transformer-tcn,trial = 0,0.7498000264167786,0.9448000192642212,0.9869999885559082,0,occurs
5,predinet-tcn,trial = 4,0.8356000185012817,0.8877999782562256,0.9409999847412108,4,occurs
6,predinet-tcn,trial = 3,0.8931999802589417,0.9161999821662904,0.9229999780654908,3,occurs
7,predinet-tcn,trial = 2,0.897599995136261,0.9390000104904176,0.9520000219345092,2,occurs
8,predinet-tcn,trial = 1,0.8094000220298767,0.8339999914169312,0.8410000205039978,1,occurs
9,predinet-tcn,trial = 0,0.8632000088691711,0.84579998254776,0.8830000162124634,0,occurs
10,corelnet-tcn,trial = 4,0.9879999756813048,0.9998000264167786,1.0,4,occurs
11,corelnet-tcn,trial = 3,0.9955999851226808,0.9994000196456908,1.0,3,occurs
12,corelnet-tcn,trial = 2,0.9775999784469604,0.9994000196456908,1.0,2,occurs
13,corelnet-tcn,trial = 1,0.9968000054359436,0.9994000196456908,1.0,1,occurs
14,corelnet-tcn,trial = 0,0.9678000211715698,0.9987999796867372,1.0,0,occurs
15,relconvnet-tcn,trial = 4,0.9976000189781188,0.9983999729156494,1.0,4,occurs
16,relconvnet-tcn,trial = 3,0.9778000116348268,0.9962000250816344,1.0,3,occurs
17,relconvnet-tcn,trial = 2,0.9408000111579896,0.9947999715805054,1.0,2,occurs
18,relconvnet-tcn,trial = 1,0.9936000108718872,0.9932000041007996,1.0,1,occurs
19,relconvnet-tcn,trial = 0,0.94760000705719,0.9919999837875366,1.0,0,occurs
20,transformer,trial = 4,0.6962000131607056,0.866599977016449,0.9110000133514404,4,occurs
21,transformer,trial = 3,0.7675999999046326,0.91839998960495,0.9610000252723694,3,occurs
22,transformer,trial = 2,0.7760000228881836,0.8320000171661377,0.9300000071525574,2,occurs
23,transformer,trial = 1,0.6668000221252441,0.8795999884605408,0.9200000166893004,1,occurs
24,transformer,trial = 0,0.7149999737739563,0.9070000052452089,0.9399999976158142,0,occurs
25,predinet,trial = 4,0.7139999866485596,0.8730000257492065,0.975000023841858,4,occurs
26,predinet,trial = 3,0.696399986743927,0.855400025844574,0.977999985218048,3,occurs
27,predinet,trial = 2,0.7764000296592712,0.9057999849319458,0.972000002861023,2,occurs
