group,name,epoch/epoch,epoch/loss,acc,_timestamp,epoch/acc,epoch/val_acc,_step,epoch/learning_rate,_wandb,epoch/val_loss,loss,_runtime,trial
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 9),99,0.00021486642071977255,0.5570987462997437,1722043601.060047,1.0,0.5745884776115417,100,0.0010000000474974513,{'runtime': 36},4.633162975311279,5.132248401641846,37.356871604919434,9
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 9),99,0.0002681505575310439,0.5697016716003418,1722043598.1525476,1.0,0.570730447769165,100,0.0010000000474974513,{'runtime': 36},4.475503921508789,4.663075923919678,38.08048367500305,9
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 8),99,0.0001917187764775008,0.5671296119689941,1722043560.8037634,1.0,0.5591563582420349,100,0.0010000000474974513,{'runtime': 37},5.128720283508301,5.082187175750732,39.010064363479614,8
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 8),99,0.00024108338402584195,0.5606995820999146,1722043556.1646185,1.0,0.5617284178733826,100,0.0010000000474974513,{'runtime': 37},4.857555389404297,4.86557674407959,39.05920648574829,8
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 7),99,0.0002642757317516953,0.5663580298423767,1722043518.0271416,1.0,0.5902777910232544,100,0.0010000000474974513,{'runtime': 34},4.309654235839844,4.521125316619873,36.11792755126953,7
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 7),99,0.00018954757251776755,0.5581275820732117,1722043514.2605193,1.0,0.5637860298156738,100,0.0010000000474974513,{'runtime': 33},4.9266767501831055,4.934030055999756,35.04133629798889,7
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 6),99,0.0002229675155831501,0.5545267462730408,1722043477.7047138,1.0,0.5699588656425476,100,0.0010000000474974513,{'runtime': 30},4.624472141265869,5.100009441375732,31.82863974571228,6
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 6),99,0.00014393776655197144,0.5751028656959534,1722043475.8352966,1.0,0.568415641784668,100,0.0010000000474974513,{'runtime': 31},5.146459579467773,5.285810470581055,32.51962971687317,6
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 5),99,0.00015220184286590666,0.5604423880577087,1722043441.0922935,1.0,0.582561731338501,100,0.0010000000474974513,{'runtime': 29},5.151973247528076,5.74107551574707,31.20283579826355,5
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 5),99,0.0002295528393005952,0.5519547462463379,1722043439.532144,1.0,0.5702160596847534,100,0.0010000000474974513,{'runtime': 29},4.898015022277832,5.130413055419922,30.974987983703613,5
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 4),99,0.00022171581804286689,0.5691872239112854,1722043406.8821266,1.0,0.5666152238845825,100,0.0010000000474974513,{'runtime': 29},5.039700508117676,5.098480224609375,30.846498489379883,4
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 4),99,0.0002077665558317676,0.5532407164573669,1722043404.8664854,1.0,0.5558127760887146,100,0.0010000000474974513,{'runtime': 29},4.779810428619385,4.740286350250244,31.19839644432068,4
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 3),99,0.00020709368982352316,0.5632715821266174,1722043371.2422633,1.0,0.5586419701576233,100,0.0010000000474974513,{'runtime': 29},5.18134069442749,5.14024543762207,31.12552523612976,3
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 3),99,0.00018296323833055792,0.5450102686882019,1722043370.8328898,1.0,0.5547839403152466,100,0.0010000000474974513,{'runtime': 29},5.092468738555908,5.146249771118164,31.06620979309082,3
gin - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,gin - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 9),99,0.006188189145177603,0.5897634029388428,1722043361.4352472,0.9999448657035828,0.5949074029922485,100,0.0010000000474974513,{'runtime': 35},2.86181378364563,2.812649726867676,36.27772307395935,9
gat - L=1 - opt_adamw - weight_dec_0.032 - lr_sched_none,gat - L=1 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 9),99,0.5941522121429443,0.6589506268501282,1722043360.7714753,0.6805004477500916,0.6692386865615845,100,0.0010000000474974513,{'runtime': 39},0.6215230226516724,0.630835771560669,40.756126403808594,9
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 2),99,0.0002418544900137931,0.5820473432540894,1722043337.2983527,1.0,0.5663580298423767,100,0.0010000000474974513,{'runtime': 29},4.347170829772949,4.440164566040039,31.069429636001587,2
transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none,transformer - L=2 - opt_adamw - weight_dec_0.032 - lr_sched_none (trial = 2),99,0.00019505136879161,0.5599279999732971,1722043336.808326,1.0,0.5516975522041321,100,0.0010000000474974513,{'runtime': 29},4.9801812171936035,4.910216331481934,30.95118188858032,2
gat - L=1 - opt_adamw - weight_dec_0.032 - lr_sched_cosine,gat - L=1 - opt_adamw - weight_dec_0.032 - lr_sched_cosine (trial = 9),99,0.5855293869972229,0.6782407164573669,1722043338.402254,0.6977513432502747,0.6604938507080078,100,1.190417791008258e-07,{'runtime': 33},0.6273208856582642,0.6157591342926025,34.73636078834534,9
gcn - L=2 - opt_adamw - weight_dec_1.024 - lr_sched_none,gcn - L=2 - opt_adamw - weight_dec_1.024 - lr_sched_none (trial = 9),99,0.4724244475364685,0.6231995820999146,1722043337.06686,0.7774471044540405,0.6347736716270447,100,0.0010000000474974513,{'runtime': 33},0.7246493697166443,0.7307150959968567,34.55323886871338,9
