,conv [PC1],conv [PC2],SET
171,46.983463,-4.1277237,not set
172,46.89945,1.0778936,not set
173,30.518282,-2.2648487,not set
174,61.280888,-5.780301,not set
175,58.381767,12.473361,not set
176,28.467966,-3.857863,not set
177,52.68236,2.5864148,not set
178,65.96717,-3.6479402,not set
179,1.3324699,6.505282,not set
180,-2.7219782,-14.924673,not set
181,-7.856184,15.230771,not set
182,-5.4898467,16.883713,not set
183,39.98991,-1.9906609,not set
184,24.676537,-17.331245,not set
185,9.400803,-13.385272,not set
186,7.4384966,10.232441,not set
187,30.98635,23.196388,not set
188,8.551976,4.207118,not set
189,42.741947,12.019531,not set
190,39.875347,4.5214715,not set
191,23.561754,-4.1543,not set
192,3.0621285,4.325588,not set
193,19.621157,15.609499,not set
194,2.7871509,-6.0014167,not set
195,64.2393,15.605595,not set
196,24.5608,12.919068,not set
197,54.342392,-11.193502,not set
198,36.01076,-5.150286,not set
199,-1.1122477,24.461857,not set
200,12.243497,-14.098125,not set
201,9.134366,15.094474,not set
202,17.648916,-7.3077025,not set
203,-3.6486099,6.727941,not set
204,14.527219,-7.5006104,not set
205,23.980476,1.8999829,not set
206,50.426846,-3.817615,not set
207,38.21227,-3.2761352,not set
208,5.1830683,14.692192,not set
209,34.41076,-9.331203,not set
210,25.228489,21.33982,not set
211,21.36713,6.8613915,not set
212,29.434029,1.6871233,not set
213,21.240582,7.4042163,not set
214,10.292254,9.013136,not set
215,2.2708876,-15.63884,not set
216,8.967157,9.528004,not set
217,33.11872,5.1360197,not set
218,43.098026,2.5250401,not set
219,45.444477,2.7557125,not set
220,33.868492,19.217789,not set
221,5.632626,-11.161449,not set
222,29.650812,-11.847785,not set
223,66.513054,10.450298,not set
224,2.0857804,-3.190415,not set
225,2.949785,4.144609,not set
226,24.788218,-8.946943,not set
227,54.105686,-7.769587,not set
228,15.189699,11.161712,not set
229,12.214105,-7.952198,not set
230,34.640858,-1.553478,not set
231,-0.8111782,34.246326,not set
232,-0.34789422,6.161329,not set
233,17.751398,8.36519,not set
234,0.58882606,5.9774394,not set
235,41.72822,-1.8405174,not set
236,33.572693,-0.025272164,not set
237,-4.702764,22.520998,not set
238,18.506195,-7.9038854,not set
239,25.908081,-21.345564,not set
240,18.85629,-2.6923819,not set
241,31.281162,-5.8644276,not set
242,25.326212,-4.736647,not set
