,group,name,stripes_acc,hexos_acc,acc,trial,task
0,cnn,trial = 4,0.9728000164031982,0.9864000082015992,0.991599977016449,4,same
1,cnn,trial = 3,0.9789999723434448,0.9882000088691713,0.9954000115394592,3,same
2,cnn,trial = 2,0.9811999797821044,0.9941999912261964,0.9968000054359436,2,same
3,cnn,trial = 1,0.972599983215332,0.9887999892234802,0.9983999729156494,1,same
4,cnn,trial = 0,0.973800003528595,0.9926000237464904,0.9965999722480774,0,same
5,relnet,trial = 4,0.9905999898910522,0.9977999925613404,1.0,4,same
6,relnet,trial = 2,0.9843999743461608,0.9955999851226808,1.0,2,same
7,relnet,trial = 3,0.9980000257492064,1.0,1.0,3,same
8,relnet,trial = 1,0.9807999730110168,0.9962000250816344,1.0,1,same
9,relnet,trial = 0,0.9825999736785888,0.9958000183105468,0.9991999864578248,0,same
10,gin,trial = 4,0.6140000224113464,0.6119999885559082,0.9796000123023988,4,same
11,gin,trial = 1,0.6380000114440918,0.65420001745224,0.9828000068664552,1,same
12,gin,trial = 0,0.6068000197410583,0.6430000066757202,0.9775999784469604,0,same
13,gin,trial = 3,0.510200023651123,0.593999981880188,0.9771999716758728,3,same
14,gin,trial = 2,0.6467999815940857,0.6759999990463257,0.9657999873161316,2,same
15,gat,trial = 4,0.6055999994277954,0.6349999904632568,0.760200023651123,4,same
16,gat,trial = 3,0.4952000081539154,0.4984000027179718,0.4970000088214874,3,same
17,gat,trial = 2,0.5727999806404114,0.6061999797821045,0.7961999773979187,2,same
18,gat,trial = 1,0.4952000081539154,0.4984000027179718,0.48980000615119934,1,same
19,gat,trial = 0,0.4952000081539154,0.4984000027179718,0.48980000615119934,0,same
20,gcn,trial = 0,0.6557999849319458,0.6732000112533569,0.9829999804496764,0,same
21,gcn,trial = 1,0.5824000239372253,0.6570000052452087,0.9664000272750854,1,same
22,gcn,trial = 2,0.5843999981880188,0.6230000257492065,0.960200011730194,2,same
23,gcn,trial = 3,0.5479999780654907,0.5630000233650208,0.9721999764442444,3,same
24,gcn,trial = 4,0.5532000064849854,0.6064000129699707,0.9718000292778016,4,same
25,relconvnet_groupattn,trial = 1,0.6534000039100647,0.6643999814987183,0.9850000143051147,1,same
26,relconvnet_groupattn,trial = 4,0.49380001425743103,0.4487999975681305,0.9811999797821044,4,same
27,relconvnet_groupattn,trial = 3,0.4429999887943268,0.49079999327659607,0.9729999899864196,3,same
28,relconvnet_groupattn,trial = 0,0.4952000081539154,0.448199987411499,0.9861999750137328,0,same
29,relconvnet_groupattn,trial = 2,0.4921999871730805,0.4415999948978424,0.9775999784469604,2,same
30,abstractor,trial = 4,1.0,1.0,1.0,4,same
31,abstractor,trial = 3,1.0,0.9998000264167786,1.0,3,same
32,abstractor,trial = 2,1.0,0.9998000264167786,0.9998000264167786,2,same
33,abstractor,trial = 1,1.0,1.0,1.0,1,same
34,abstractor,trial = 0,1.0,1.0,1.0,0,same
35,contextgroup_relconvnet,trial = 4,0.9824000000953674,0.9869999885559082,1.0,4,same
36,contextgroup_relconvnet,trial = 2,0.9919999837875366,0.9836000204086304,1.0,2,same
37,contextgroup_relconvnet,trial = 3,0.9649999737739564,0.977999985218048,1.0,3,same
38,contextgroup_relconvnet,trial = 1,0.925599992275238,0.9729999899864196,1.0,1,same
39,contextgroup_relconvnet,trial = 0,0.9811999797821044,0.984000027179718,1.0,0,same
40,tempgroup_relconvnet,trial = 4,0.9574000239372252,0.9793999791145324,1.0,4,same
41,tempgroup_relconvnet,trial = 3,0.9735999703407288,0.979200005531311,1.0,3,same
